Recycle-UCT    2184MiB     2185MiB     20.7%   2.694238s
UCT Agent      563MiB      563MiB      20.7%   0.569518s
Recycle-UCT    80MiB       80MiB       20.7%   0.137845s
UCT Agent      53MiB       53MiB       20.7%   0.123924s
Recycle-UCT    1MiB        1MiB        20.7%   0.058641s
UCT Agent      3MiB        3MiB        20.7%   0.044638s
Recycle-UCT    0MiB        0MiB        20.7%   0.021464s
UCT Agent      3062MiB     3063MiB     20.5%   4.522182s
Recycle-UCT    2680MiB     2681MiB     20.5%   4.541018s
UCT Agent      2203MiB     2203MiB     20.5%   3.160013s
Recycle-UCT    525MiB      526MiB      20.5%   0.478766s
UCT Agent      186MiB      186MiB      20.5%   0.228926s
Recycle-UCT    2MiB        2MiB        20.5%   0.072473s
UCT Agent      13MiB       13MiB       20.5%   0.058619s
Recycle-UCT    0MiB        0MiB        20.5%   0.034507s
Recycle-UCT    3070MiB     3071MiB     20.4%   4.671887s
UCT Agent      2678MiB     2679MiB     20.2%   4.027286s
Recycle-UCT    2178MiB     2178MiB     20.4%   2.707412s
UCT Agent      562MiB      562MiB      20.4%   0.602204s
Recycle-UCT    61MiB       61MiB       20.4%   0.123046s
UCT Agent      52MiB       52MiB       20.4%   0.122825s
Recycle-UCT    0MiB        0MiB        20.4%   0.057286s
UCT Agent      2MiB        2MiB        20.4%   0.044755s
Recycle-UCT    0MiB        0MiB        20.4%   0.035341s
UCT Agent      3066MiB     3068MiB     20.3%   4.632984s
Recycle-UCT    2678MiB     2679MiB     20.4%   3.941929s
UCT Agent      2200MiB     2200MiB     20.4%   2.62363s
Recycle-UCT    518MiB      518MiB      20.4%   0.508011s
UCT Agent      183MiB      183MiB      20.4%   0.307647s
Recycle-UCT    1MiB        1MiB        20.4%   0.0694s 
UCT Agent      12MiB       12MiB       20.4%   0.062394s
Recycle-UCT    0MiB        0MiB        20.4%   0.041473s
UCT Agent      0MiB        0MiB        20.4%   0.021667s
Recycle-UCT    3068MiB     3069MiB     20.4%   4.604543s
UCT Agent      2678MiB     2679MiB     20.4%   4.014151s
Recycle-UCT    2190MiB     2191MiB     20.3%   2.502254s
UCT Agent      565MiB      565MiB      20.3%   0.53437s
